版本,名称,日文,属性,获得方法,使用代码,图片,对目标,无目标,最新绿点
7.4,摇摆声援小绿,,持续,2026年女儿节奖励,/cheerlightgreen,246470,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
7.4,节拍声援小白,,持续,2026年女儿节奖励,/cheerrhythmbright,246469,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
7.4,摇摆声援小蓝,,持续,2026年女儿节奖励,/cheerlightblue,246468,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
7.4,节拍声援小紫,,持续,2026年女儿节奖励,/cheerrhythmviolet,246467,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
7.4,激活神机王冠,,通常,官网道具商城购买(限时2026.6.1),/divinetiara,246466,<me>在<t>面前让神机王冠发出了光芒。,<me>让神机王冠发出了光芒。,0
7.4,激活神机项环,,通常,官网道具商城购买(限时2026.6.1),/divinedisk,246465,<me>在<t>面前让神机项环发出了光芒。,<me>让神机项环发出了光芒。,0
7.4,激活神机手铠,,通常,官网道具商城购买(限时2026.6.1),/divinearm,246464,<me>在<t>面前让神机手铠发出了光芒。,<me>让神机手铠发出了光芒。,0
7.4,双手抱书,,持续,PVP第十季通行证5级奖励（截止至7.5前）,/carrybook,246463,<me>在<t>面前抱起了书本。,<me>抱起了书本。,0,UPDATED
7.4,模特步,,通常,未知,/runwaywalk,246459,<me>在<t>面前走起了模特步。,<me>走起了模特步。,3
7.4,摇摆声援小黄,,持续,2026年女儿节奖励,/cheerlightyellow,246457,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
7.4,节拍声援小红,,持续,2026年女儿节奖励,/cheerrhythmred,246456,<me>热烈声援<t>。,<me>开始声援。,0,UPDATED
7.41,跳脚,,通常,,/stomp,246455,<me>气得对<t>直跺脚。,<me>气得直跺脚。,1,NEW
7.41,用羽毛笔记录,,持续,,/pen,246452,<me>在<t>面前用羽毛笔记述了内容。,<me>用羽毛笔记述了内容。,1,NEW
7.41,端坐享用绿茶,,持续,,/savortea,246451,<me>在<t>面前以端坐的姿势持续享用绿茶。,<me>以端坐的姿势持续享用绿茶。,1,NEW
7.35,饮用绿茶,,通常,朝圣交错路-光耀魔器碎片x50兑换,/drinkgreentea,246450,<me>在<t>面前饮用绿茶。,<me>饮用了绿茶。,0
7.41,跃跃欲试,,通常,,/limberup,246449,<me>在<t>面前跃跃欲试。,<me>跃跃欲试。,1,NEW
7.41,持续用海都风格马克杯喝,,持续,,/lominsangulp,246448,<me>在<t>面前用海都风格马克杯持续饮用了潘趣软饮。,<me>用海都风格马克杯持续饮用了潘趣软饮。,1,NEW
7.41,持续用沙都风格马克杯喝,,持续,,/uldahngulp,246447,<me>在<t>面前用沙都风格马克杯持续饮用了潘趣软饮。,<me>用沙都风格马克杯持续饮用了潘趣软饮。,1,NEW
7.41,持续用森都风格马克杯喝,,持续,,/gridaniangulp,246446,<me>在<t>面前用森都风格马克杯持续饮用了潘趣软饮。,<me>用森都风格马克杯持续饮用了潘趣软饮。,1,NEW
7.41,用海都风格马克杯喝,,通常,,/lominsansip,246445,<me>在<t>面前用海都风格马克杯饮用了潘趣软饮。,<me>用海都风格马克杯饮用了潘趣软饮。,1,NEW
