编码,地名,坐标,,,,,,,,,,,,,
xb,库尔札斯西部高地,,,,,,,,,,,露营地食材守卫战 吕西艾(X：16.5 Y：22.5),小试牛刀的眷属狩猎 让泰洛(X：16.7 Y：22.8),石匠的烦恼 英嘉蕾特(X：32.4 Y：35.8),冰雪废堡暮卫塔 威尔德西奥(X：16.9 Y：22.8)
gd,龙堡参天高地,,,,,,,,,,,巡回调查 马塞尚(X：31.9 Y：22.9),龙眼看人低 艾斯·卡斯(X：16.4 Y：23.0),棘手的大家伙 马塞尚(X：31.9 Y：22.9),军火小偷 跑得快(X：23.9 Y：19.7)
fywh,翻云雾海,,,,,,,,,,,莫古噗的弱点 莫古噗(X:29.8 Y:36.1),路霸 莫古欣(X：27.5 Y：33.8),饿到不行 东张西望的莫古力(X：32.9 Y：15.4),这藏着一只莫古力！ 彷徨不安的莫古力(X：12.3 Y：29.5)
yh,阿巴拉提亚云海,,,,,,,,,,,战旗所述的夕阳 艾因哈特家的骑兵(伊修加德砥柱层 X：11.5 Y：10.9),保存完好的飞膜 拉妮艾特(X：17.0 Y：37.3),不思进取的古努瓦努 古纳瓦努(X：10.6 Y：14.8),驱虫植物 加努瓦利(X：9.6 Y：14.2)
dd,龙堡内陆低地,,,,,,,,,,,维护以太之光 哈夫西克斯(田园郡 X:7.5 Y:6.7),人类的罪孽 米德奈特·迪尤(田园郡 X:5.5 Y:6.6),冒险者是同伴哥布！塔普克里克斯(X：21.9 Y：18.8),使魔智蛙 萨罗·罗格(玛托雅的洞穴 X:6.8 Y:6.3)
,魔大陆阿济兹拉,,,,,,,,,,,,,,
bq,基拉巴尼亚边区,(11.6　16.4)Z:0.6,(19.3　4.5)Z:0.4,(24.9　11.1)Z:0.6,(9.5　27.8)Z:0.3,(17.3　15.2)Z:0.0,(25.0　26.2)Z:0.4,(35.8　16.7)Z:1.6,(27.9　21.6)Z:0.7,(29.6　28.9)Z:0.4,(34.1　30.0)Z:0.6,暴走的魔导兵器 鲁兹奇厄兹正漩尉(X：8.4 Y：11.2),隐蔽的真相 斯威斯里克正牙将(X：9.2 Y：10.8) ,谢谢你，帝国军 梅·基恩姬(X：30.1 Y：26.1) ,领地交涉人 婆罗皤提(X：27.0 Y：21.0) 
sq,基拉巴尼亚山区,(11.8　5.8)Z:0.1,(26.7　6.8)Z:0.8,(35.7　11.6)Z:2.1,(15.8　16.9)Z:0.8,(27.5　20.9)Z:1.5,(10.8　26.5)Z:2.5,(8.1　32.6)Z:2.2,(16.7　31.9)Z:2.2,(21.1　22.0)Z:2.5,(23.9　31.8)Z:2.5,夺回采石场 拉加恩弗里德(X：24.4 Y：6.8) ,为了填饱肚子 高大的搬运工(X：27.7 Y：28.7) ,阿拉基利的恩人 布雷森·布鲁克(X：14.9 Y：36.6) ,寒炉村的年轻人 撒加尔(X：14.9 Y：36.6) 
hq,基拉巴尼亚湖区,(8.6　15.6)Z:0.6,(15.0　12.3)Z:0.5,(14.3　21.7)Z:0.2,(34.9　7.2)Z:1.1,(22.4　16.4)Z:0.0,(18.0　30.9)Z:0.3,(13.3　36.2)Z:2.0,(23.6　37.2)Z:0.4,(29.5　22.8)Z:1.1,(34.9　31.6)Z:0.8,悼念彷徨的死灵 贝莎(X：10.9 Y：21.0),帝国兵与秘密的地图 多萝西副耀尉(X：8.2 Y：20.5),魔物的使用方法 嘉·兹拉·提亚(X：10.6 Y：22.5),预想之外的敌人 穆尼弗里德(X：11.3 Y：20.6)
hyh,红玉海,(30.0　38.8)Z:0.1,(15.2　38.4)Z:0.0,(8.4　9.1)Z:0.2,(17.6　7.5)Z:0.0,(21.8　8.8)Z:0.2,(31.5　6.4)Z:0.2,(22.7　3.8)Z:0.0,(35.6　20.5)Z:0.4,(31.3　25.0)Z:0.0,(7.8　28.9)Z:0.2,暗中联络 涌水(X：31.5 Y：37.1),飞身向剑！ 纤瘦的甲人族(X：32.7 Y：18.5) ,走出绝境 半作(X：23.4 Y：9.1) ,紫水宫的异变 翡翠与红(X：20.2 Y：20.1) 
