等级,内容,图片,坐标,道具名,链接
1,我要干嘛,,,,
2,主线,,,,
3,暗夜的邀请,071001.tex.png,,,
3,谢尔,npc.png,,,
3,后房(X:6.0 Y:6.4),zuobiao.png,id=934&x=6.0&y=6.4,,
2,副本,,,,
3,极神,,,,
4,？？？？？？歼灭战,071141.tex.png,,,
4,异国的诗人,npc.png,,,
4,图莱尤拉(X:11.1 Y:14.6),zuobiao.png,id=855&x=11.1&y=14.6,,
3,24人,,,,
4,万年梦境的回响(桑多利亚：第二巡行),071141.tex.png,,,
4,勇连队的传令兵,npc.png,,,
4,图莱尤拉 (X:16.2 Y:3.9),zuobiao.png,id=855&x=16.2&y=3.9,,
3,幻本,,,,
4,青龙幻巧战,071141.tex.png,,,
4,从伊修加德来的男性,npc.png,,,
4,田园郡 (X:7.0 Y:5.9),zuobiao.png,id=257&x=7&y=5.9,,
4,需完成支线「天书奇谈」,071141.tex.png,,,https://ff14.huijiwiki.com/wiki/%E4%BB%BB%E5%8A%A1：%E5%A4%A9%E4%B9%A6%E5%A5%87%E8%B0%88
3,新死宫-朝圣者之路(7.35),,,,
2,支线,,,,
3,宇宙探索,,,,
4,探索新的未知！,071141.tex.png,,,
4,查明威,npc.png,,,
4,憧憬湾 (X:20.4 Y:20.0),zuobiao.png,id=1007&x=20.4&y=20,,
4,需完成支线「渴望未知的宇宙」,071141.tex.png,,,
3,幻影武器,,,,
4,古代工匠的技术,071141.tex.png,,,
4,利迪尔赛尔,npc.png,,,
4,幻境村 (X:6.6 Y:7.1),zuobiao.png,id=1025&x=6.6&y=7.1,,
4,需完成支线「制作幻境武器」,071141.tex.png,,,
3,调查员黄金篇(7.35),,,,
3,友好部族-尤卡巨人族(7.35),,,,
2,综合,,,,
3,幻想药,,,幻想药,
4,对话获得,071141.tex.png,,,
4,流浪的莫古力,npc.png,,,
4,格里达尼亚旧街(X:10.7 Y:6.4),zuobiao.png,id=3&x=10.7&y=6.4,,
4,没错又又送一瓶(7.3前),daoju.png,,,
3,PVP,,,,
4,新的战利水晶外观,,,,
4,第九季通行证,,,,
3,生产采集,,,,
4,750HQ,daoju.png,,,
4,宇宙工具二期,daoju.png,,,
3,挖宝-G18,,,,
4,坐骑：羊,,,羊,
4,宠物：小小羊,,,小小羊,
4,宠物：索取小猫,,,索取小猫,
4,时尚配饰：火炬,,,火炬,
3,潜水艇,,,,
4,等级由130 提高为 135,daoju.png,,,
4,新的目的地,daoju.png,,,
4,新道具追加,daoju.png,,,
2,系统,,,,
3,新增对话框功能,daoju.png,,,
3,新增BOSS读条,daoju.png,,,
3,永恒女王能低保换坐骑了,daoju.png,,,
