类别,任务名,等级,位置,要求,重点（红字）,图片
封面,,※4.4狂乱前奏,※4.4更新笔记,,,0
主线,阿尔菲诺的行踪,战斗精英/魔法导师 等级70,石之家 (X:6.1 Y:5.8)阿莉塞,完成主线任务「拂晓的少年」,-,1
死亡大地 终末焦土,终末焦土,战斗精英/魔法导师 等级70,归燕馆 (X:6.1 Y:6.0)飞燕,完成主线任务「阿尔菲诺的行踪」,装等340+,2
污染庭园 圣茉夏娜植物园,「污染庭园 圣茉夏娜植物园」,战斗精英/魔法导师 等级70,神拳痕 (X:11.7 Y:11.9)梭尼,完成支线「草木庭园 圣茉夏娜植物园」,装等340+,3
多玛飞地相关,天灯祭灵,战斗精英/魔法导师 等级70,多玛飞地 (X:7.2 Y:7.3)小樱,将多玛飞地的所有场景全部复兴重建即可,-,4
四圣兽相关,朱色慕恋,战斗精英/魔法导师 等级70,红玉海 (X:27.8 Y:16.4)文镇,完成支线任务「穿越时空的龟」,-,5
朱雀诗魂战,-,战斗精英/魔法导师 等级70,黄金港 (X:11.6 Y:12.6)异国的诗人,通关并完成「朱雀镇魂战」,装等370+,6
欧米茄 阿尔法幻境,开始如期而至,战斗精英/魔法导师 等级70,神拳痕 (X:13.4 Y:12.4)杰西,完成支线任务「破坏的妖星」,装等355+,7
欧米茄零式 阿尔法幻境,？？？,战斗精英/魔法导师 等级70,神拳痕 (X:13.4 Y:12.4)魔导终端,完成支线任务「？？？」,装等370/375/380/380+,8
坐骑相关,新增坐骑,以下坐骑支持飞行：古菩猩猩/贝希摩斯/月桂冠古菩猩猩/兵队火蛟<br/>4.0区域中坐骑可以2级加速了<br/>坐骑列表追加了「常用」类别,,,,9
宠物相关,新增宠物,宠物列表追加了「常用」类别<br/>新增文字搜索功能,-,,,10
金碟游乐场相关,增加新的金碟币兑换奖励,机遇临门参加改为免费，时间奖励存在变化<br/>仙人微彩的购买费用下调<br/>仙人仙彩的获得奖励提升,,,增加新的机遇临门「王像跳跳乐大挑战」,11
采集相关,增加新的采集点,采集点中增加新的采集道具<br/>新增钓场「多玛飞地」<br/>在钓鱼笔记中将会记录在钓鱼的时候所需要的必要条件,,,,12
乐谱相关,新增乐谱,,,,,13
鸟甲相关,新增鸟甲,,,,,14
生产相关,新增配方,,,,,15
GPOSE相关,可以播放移动动作,,,,,16
家具相关,新增家具,实装国际服家具设计大赛中的作品,,,,17
发型相关,新增发型,实装参考发型设计大赛作品后制作的新发型,,,,18
情感动作相关,新增动作,情感动作列表追加了「常用」类别,,,,19
九宫幻卡相关,新增卡牌,新增对战NPC,,,,20
大国防联军相关,开放军衔：正漩尉（黑涡团）/正牙尉（双蛇党）/正耀尉（恒辉队）,军票的持有上限由80000增加到90000,冒险者小队可以挑战的副本增加,,,21
乐器演奏相关,增加全新的音色,定音鼓/邦戈鼓/低音鼓/小军鼓/镲<br/><br/>,,,,22
宝物库相关,增加新的区域「运河宝物库 神殿」,“瞪羚革制的宝物地图”可获得的报酬增加,“运河宝物库”与“深层”的报酬有增加/变更,,装等370+,23
莫古邮箱,收到的邮件会以“好友邮件”“特典·购买道具邮件”“GM邮件”为单位分别显示,未读邮件以及包含附件的未读邮件增加新的显示,,,,24
永结同心相关,为了纪念二人的重要日子，增加「永结同心纪念日 」,过纪念日后无论哪天都可申请，但一年一次<br/>会场装饰增加<br/>商店出售的特效道具增加<br/>到场嘉宾获得的赠品增加,,,,25
系统相关,物品栏增加全展开功能「DirectX11版」,增加「闹钟」功能<br/>道具详情与装备属性对比中，可以查看该道具是否有在道具商人处贩卖<br/>叫出搭档的时候再次使用基萨尔野菜可延长至60分钟,,,,26
潜水艇相关,探索机体的上限由3变成了4,潜水艇的等级上限由30变成了40<br/>可以发现新的探索地点<br/>增加新的可获得道具<br/>部分探索地点所获得的道具有变化<br/>-,,,,27
住宅区相关,增加家具「服装模特」,增加给房屋设定标签的功能<br/>水族箱中可以饲养的鱼种类增加<br/>花盆中可以种植的种子增加<br/>部队合建可以制作的道具增加<br/>-,,,,28
职业相关,骑士/暗骑/武士/忍者/黑魔/召唤/赤魔/白魔/学者/占星有技能调整,可以选择10个职能技能<br/>参加随机任务：指导者所需的装等由335提升至355,,,,44
