类别,任务名,等级,位置,要求,重点（红字）,图片
封面,,※4.4狂乱前奏,※4.4更新笔记,,,0
主线,阿尔菲诺的行踪,战斗精英/魔法导师 等级70,石之家 (X:6.1 Y:5.8)阿莉塞,完成主线任务「拂晓的少年」,-,1
死亡大地 终末焦土,终末焦土,战斗精英/魔法导师 等级70,归燕馆 (X:6.1 Y:6.0)飞燕,完成主线任务「阿尔菲诺的行踪」,装等340+,2
污染庭园 圣茉夏娜植物园,「污染庭园 圣茉夏娜植物园」,战斗精英/魔法导师 等级70,神拳痕 (X:11.7 Y:11.9)梭尼,完成支线「草木庭园 圣茉夏娜植物园」,装等340+,3
多玛飞地相关,天灯祭灵,战斗精英/魔法导师 等级70,多玛飞地 (X:7.2 Y:7.3)小樱,将多玛飞地的所有场景全部复兴重建即可,-,4
朱雀镇魂战,朱色慕恋,战斗精英/魔法导师 等级70,红玉海 (X:27.8 Y:16.4)文镇,完成支线任务「穿越时空的龟」,-,5
朱雀诗魂战,-,战斗精英/魔法导师 等级70,黄金港 (X:11.6 Y:12.6)异国的诗人,通关并完成「朱雀镇魂战」,装等370+,6
欧米茄 阿尔法幻境,开始如期而至,战斗精英/魔法导师 等级70,神拳痕 (X:13.4 Y:12.4)杰西,完成支线任务「破坏的妖星」,装等355+,7
欧米茄零式 阿尔法幻境,？？？,战斗精英/魔法导师 等级70,神拳痕 (X:13.4 Y:12.4)魔导终端,完成支线任务「？？？」,装等370/375/380/380+,8
坐骑相关,新增坐骑,坐骑列表追加了「收藏」类别<br/>新增文字搜索功能<br/>以下坐骑支持飞行：古菩猩猩/贝希摩斯/月桂冠古菩猩猩/兵队火蛟<br/>,,,,9
宠物相关,新增宠物,宠物列表追加了「收藏」类别<br/>新增文字搜索功能<br/><br/>,-,,,10
金碟游乐场相关,新增金碟币交换纪念品,G.A.T.E.参加改为免费，时间奖励存在变化<br/>仙人微彩购买金额下调<br/>仙人仙彩奖励上调,,,新增G.A.T.E「王像跳跳乐大挑战」,11
采集相关,增加新的采集点,采集点中增加新的采集道具<br/>新增钓场「多玛飞地」<br/>在钓鱼笔记中将会记录在钓鱼的时候所需要的必要条件<br/>,,,,12
乐谱相关,新增乐谱,,,,,13
鸟甲相关,新增鸟甲,,,,,14
生产相关,新增配方,,,,,15
GPOSE相关,将可以回放新的移动模式,,,,,16
家具相关,新增家具,实装国际服家具设计大赛中的作品,,,,17
发型相关,新增发型,实装参考发型设计大赛作品后制作的新发型,,,,18
情感动作相关,新增动作,在情感动作窗口中将会追加「收藏」栏目,,,,19
九宫幻卡相关,新增卡牌,新增对战NPC,,,,20
大国防联军相关,,开放军衔：正漩尉（黑涡团）/正牙尉（双蛇党）/正耀尉（恒辉队）<br/>当晋升到新的军衔后，军票所持上限将会从80000变成90000,,,,21
乐器演奏相关,新增以下音色,定音鼓/邦戈鼓/低音鼓/小军鼓/钹<br/><br/>,,,,22
宝物库相关,新增「运河宝物库 神殿」,<br/>,,,装等370+,23
莫古邮箱,,未读邮件和有附带道具的邮件的显示方式将会发生变更<br/>根据类别不同最多可以存放的信件数的表示方式将会发生改变,,,,24
永结同心相关,追加可以让两人再次庆祝重要日子的「结婚纪念日」,在纪念日来临以后无论哪天都可以申请典礼<br/>增加了在商店可以购买的演出道具<br/>增加了会场装饰的变化<br/>增加了给来宾的礼物,,,,25
系统相关,,物品栏显示类型追加「全展开」<br/>在「道具详情」和「装备比较」中、将会显示这个道具有没有在npc处被贩卖<br/>追加可以在任意时间点可以通知时间的「闹钟」功能,,,,26
潜水艇相关,,潜水艇数量有3变成了4<br/>潜水艇的等级上限由30变成了40<br/>可以发现新的目的地了<br/>增加通过探险可以获得的新道具<br/>-,,,,27
住宅区相关,,新增可以搭配服饰直接出售的「模特」<br/>新增给房屋活动设置主题、房屋展示的机能<br/>新增新的可以在鱼缸中饲养的鱼<br/>新增新的可在花盆中栽培的植物<br/>-,,,,28
