大图,小图,版本,名称,中国区获得方法,new
067016.tex,058016.tex,未知,红月油纸伞,未知（预测是新生祭）,2
067014.tex,058014.tex,未知,猫小胖阳伞,未知,2
067015.tex,058015.tex,5.5,隆卡的水蛇伞？,粉丝节粉丝投稿，获奖者特殊奖励,2
067009.tex,058009.tex,5.45,趣味圆点阳伞,南方博兹雅战线<br/>博兹雅晶簇x25 兑换,0
067011.tex,058011.tex,5.41,田园圆点阳伞,重建伊修加德 天穹街振兴票x1800,0
067012.tex,058012.tex,5.4,金碟阳伞,成就「官方记录3」<br/>在官方锦标赛中取胜150次。,0
067010.tex,058010.tex,5.4,端庄圆点阳伞,"伊尔美格 杂用商人<br/>100,000金购买",0
067013.tex,058013.tex,5.4,天使之翼,"500,000金蝶币兑换",0
067008.tex,058008.tex,5.35,典雅方格阳伞,南方博兹雅战线<br/>上锁的宝箱-稀有掉落,0
067007.tex,058007.tex,5.31,活力方格阳伞,重建伊修加德 天穹街振兴票x1800,0
067006.tex,058006.tex,5.31,沉稳方格阳伞,重建伊修加德「库啵好运道」,0
067005.tex,058005.tex,5.3,黄漆油纸伞,"200,000金蝶币兑换",0
067004.tex,058004.tex,5.3,紫漆油纸伞,潜水艇-翠浪海 海域F,0
067003.tex,058003.tex,5.3,红漆油纸伞,"黄金港 杂货商 常花<br/>100,000金购买",0
067002.tex,058002.tex,5.21,天蓝阳伞,重建伊修加德「库啵好运道」,0
067001.tex,058001.tex,5.21,阳伞,重建伊修加德 天穹街振兴票x1800,0
