类型,地图,编号,X坐标,Y坐标
0,mj,1,84,304
0,mj,2,186,181
0,mj,3,242,109
0,mj,4,249,218
0,mj,5,247,296
0,mj,6,68,209
0,mj,7,218,375
0,mj,8,318,144
1,mj,1,69,278
1,mj,2,216,207
1,mj,3,303,120
0,swnd,1,84,304
0,swnd,2,186,181
0,swnd,3,242,109
0,swnd,4,249,218
0,swnd,5,247,296
0,swnd,6,68,209
0,swnd,7,218,375
0,swnd,8,318,144
1,swnd,1,84,304
1,swnd,2,84,304
1,swnd,3,84,304
0,jlm,1,84,304
0,jlm,2,186,181
0,jlm,3,242,109
0,jlm,4,249,218
0,jlm,5,247,296
0,jlm,6,68,209
0,jlm,7,218,375
0,jlm,8,318,144
1,jlm,1,84,304
1,jlm,2,84,304
1,jlm,3,84,304
0,txh,1,84,304
0,txh,2,186,181
0,txh,3,242,109
0,txh,4,249,218
0,txh,5,247,296
0,txh,6,68,209
0,txh,7,218,375
0,txh,8,318,144
1,txh,1,84,304
1,txh,2,84,304
1,txh,3,84,304
0,twtg,1,84,304
0,twtg,2,186,181
0,twtg,3,242,109
0,twtg,4,249,218
0,twtg,5,247,296
0,twtg,6,68,209
0,twtg,7,218,375
0,twtg,8,318,144
1,twtg,1,84,304
1,twtg,2,84,304
1,twtg,3,84,304
