等级,内容,图片,坐标,道具名,链接
2,紫礁海T,,,,
3,7.2版本,,,,
3,苍茫浅滩A,,,,
4,B,,,,
5,D,,,,
5,F,,,,
6,I,,,,
7,L,,,,
8,O,,,,
8,Q,,,,
9,S,,,,
7,M,,,,
8,N,,,,
9,P,,,,
9,R,,,,
10,T,,,,
4,C,,,,
5,E,,,,
5,G,,,,
6,H,,,,
7,K,,,,
6,J,,,,
2,苍茫浅滩,,,,
3,掉落,,,,
3,A,,,,
4,水小滴轻飘飘玩偶,,,水小滴轻飘飘玩偶,
5,面部配饰：经典眼镜,,,面部配饰：经典眼镜,
6,乐谱：自然的礼物,,,管弦乐琴乐谱：自然的礼物,
3,B,,,,
4,蓝色印花阳伞,,,蓝色印花阳伞,
5,蓝帽蘑菇台灯,,,蓝帽蘑菇台灯,
6,香木屑,,,香木屑,
3,C,,,,
4,海牛玩偶,,,海牛玩偶,
5,活常春藤壁饰,,,活常春藤壁饰,
6,小小巨嘴鸟,,,小小巨嘴鸟,
3,D,,,,
4,乐谱：地下湖的水滴,,,管弦乐琴乐谱：地下湖的水滴,
5,实验桌,,,实验桌,
3,E,,,,
4,乐谱：技师工房,,,管弦乐琴乐谱：技师工房,
5,麦酒杯,,,麦酒杯,
6,旧化的舷窗,,,旧化的舷窗,
3,F,,,,
4,六角小螈螈玩偶,,,六角小螈螈玩偶,
5,石制夹层楼板,,,石制夹层楼板,
6,脊龙,,,脊龙,
3,G,,,,
4,紫漆油纸伞,,,紫漆油纸伞,
5,高压缩纤维板,,,高压缩纤维板,
6,抱石攀岩隔离墙,,,抱石攀岩隔离墙,
3,H,,,,
4,香木屑,,,香木屑,
5,砖石圈,,,砖石圈,
3,I,,,,
4,高压缩纤维板,,,高压缩纤维板,
5,宠物：脊龙,,,脊龙,
6,荧光管吊灯,,,荧光管吊灯,
3,J,,,,
4,仿古清洗台,,,仿古清洗台,
5,宠物：银山雀儿,,,银山雀儿,
6,圆形地灯,,,圆形地灯,
3,K,,,,
4,石制夹层楼板,,,石制夹层楼板,
5,宠物：小小巨嘴鸟,,,小小巨嘴鸟,
6,大面幅水晶板,,,大面幅水晶板,
3,L,,,,
4,面部配饰：经典眼镜,,,面部配饰：经典眼镜,
5,管弦乐琴乐谱：地下湖的水滴,,,管弦乐琴乐谱：地下湖的水滴,
6,面部配饰：彩色护目镜,,,面部配饰：彩色护目镜,
3,M,,,,
4,坏掉的冰盒,,,坏掉的冰盒,
5,管弦乐琴乐谱：自然的礼物,,,管弦乐琴乐谱：自然的礼物,
6,管弦乐琴乐谱：仰望黎明的天空,,,管弦乐琴乐谱：仰望黎明的天空,
3,N,,,,
4,深海灵性岩,,,深海灵性岩,
5,易弯胶合板,,,易弯胶合板,
3,O,,,,
4,阿尔扎达尔宝物地毯,,,阿尔扎达尔宝物地毯,
5,砖石圈,,,砖石圈,
6,卷轴柜,,,卷轴柜,
3,P,,,,
4,面部配饰：彩色护目镜,,,面部配饰：彩色护目镜,
5,面部配饰：小夹鼻眼镜,,,面部配饰：小夹鼻眼镜,
3,Q,,,,
4,本本石,,,本本石,
5,面部配饰：右侧秘银镶边眼罩,,,面部配饰：右侧秘银镶边眼罩,
3,R,,,,
4,活常春藤壁饰,,,活常春藤壁饰,
5,摄影棚顶灯,,,摄影棚顶灯,
3,S,,,,
4,原木夹层楼板,,,原木夹层楼板,
5,面部配饰：左侧秘银镶边眼罩,,,面部配饰：左侧秘银镶边眼罩,
3,T,,,,
4,管弦乐琴乐谱：咖啡时间,,,管弦乐琴乐谱：咖啡时间,
