等级,内容,图片,坐标,道具名,链接
2,左边,,,,
3,老一后打完小怪[和栅栏互动],,,,
4,鸟巢处[打断]元灵,,,,,
5,结局1,,,,
4,鸟巢处[不打断]元灵,,,,
5,结局2,,,,
3,老一后[不和栅栏互动],,,,
4,用风灵破坏左边围栏，走左路,,,,
5,结局3,,,,
4,不用风灵破坏，直接进,,,,
5,结局4,,,,
2,中间,,,,
3,老一后选蘑菇,,,,
4,用小怪技能炸3磁石，去隐藏交互,,,,
5,结局9,,,,
4,直接击杀小改，不炸3磁石,,,,
5,结局10,,,,
3,老一后选石头,,,,
4,靠近场地3暗石头，去激活,,,,
5,结局11,,,,
4,不靠近场地暗石头，直接打,,,,
5,结局12,,,,
2,隐藏(右边),,,,,
3,打完老一选海藻,,,,
4,不清除海藻，在圆形平台附近,,,,
5,/行礼,,,,
5,/s 我亲爱的朋友啊,,,,
5,绿紫粉蓝,,,,
5,结局13,,,,
2,右边,,,,
3,打完老一选海藻,,,,
4,让小怪吸引技能吸4堆亮片,,,,
5,清除海藻,,,,
6,结局5,,,,
4,直接击杀小怪，不管亮片,,,,
5,清除海藻,,,,
6,结局6,,,,
3,打完老一选沙滩,,,,
4,吹响大海螺,,,,
5,结局7,,,,
4,不吹响大海螺,,,,
5,结局8,,,,
