小图代码,大图代码,顺序,名称,版本,地点,X,Y,天气,天气图片,时间,动作,动作代码,动作图片,备注,位置图片1,位置图片2
081501.tex,081001.tex,1,梭鱼埠头,新生篇,利姆萨·罗敏萨上层甲板,9,7,晴朗,060202.tex,8:00～11:59,张望,/lookout,064022.tex,军用埠头，利姆萨·罗敏萨引以为傲的旗舰舰队“黑涡舰队”在此停泊。一般市民是禁止进入的，不过，可以从视野好的地方看到旗舰凯旋号及整个舰队的英姿。,12001,22001
081502.tex,081002.tex,2,阿斯塔利西亚号海盗船,新生篇,利姆萨·罗敏萨下层甲板,7,15,碧空,060201.tex,18:00～4:59,张望,/lookout,064022.tex,三大海盗之首的海盗团“断罪党”拥有的大型帆船。虽然表面上对外宣称这是一艘外国籍的商务船，但其实每个人心里都清楚，那是大海盗希尔菲厄的私有船。船内则是各路海盗们的社交场所。,12002,22002
081503.tex,081003.tex,3,海词石窟的纪念碑,新生篇,中拉诺西亚,20,19,小雨,060207.tex,5:00～7:59,祈祷,/pray,064064.tex,船员们的纪念碑。纪念碑上刻有传说会运送灵魂的黑尾鸥，以及一首镇魂歌：“我是支撑船只的波浪，我是指引海员的微风。我是夜晚的星星，我是早晨的天空。我生于大海之中，亦将逝于大海之中。”,12003,22003
081504.tex,081004.tex,4,天梯,新生篇,中拉诺西亚,16,17,晴朗,060202.tex,12:00～16:59,张望,/lookout,064022.tex,第七灵灾时，天地巨变导致这里的地形发生了极大的变化。为了跨越这新生的横断崖，利姆萨·罗敏萨的运货人共同搭建起了能够运送货物的升降机。除升降机外，有时他们还会使用气球上下传递物资。,12004,22004
081505.tex,081005.tex,5,拉撒格兰东路,新生篇,中拉诺西亚,25,27,阴云,060203.tex,8:00～11:59,张望,/lookout,064022.tex,连接中拉诺西亚和拉诺西亚低地、并通往东拉诺西亚的一条道路。这条路是以一位精灵族的冒险者“拉撒格兰”的名字命名。在人们迁入到这个岛屿的早期时候，他曾与建国船加拉迪翁号的领航员德内维尔一起，在岛上探索并记录下地形的结构。,12005,22005
081508.tex,081008.tex,6,砂盐滩,新生篇,拉诺西亚低地,23,40,晴朗,060202.tex,18:00～4:59,张望,/lookout,064022.tex,灵灾之时，坠落的卫月碎片贯穿了沙滩的地脉，使得大量的以太喷出形成偏属性水晶。也因此使得海水中的盐分结晶化，形成了巨大的盐柱。,12006,22006
081509.tex,081009.tex,7,赤血雄鸡农场的田地,新生篇,拉诺西亚低地,33,19,薄雾,060204.tex,5:00～7:59,张望,/lookout,064022.tex,由一名园艺工建立的实验农场。这里不仅栽培农作物，也会饲养一些渡渡鸟和羊羔之类的家禽和家畜。农场的名字也颇有来历，当初人们为了取乐而让白鸡和红鸡相斗，可最终却由于斗争惨烈而使两只鸡浑身上下都染成了血红色。,12007,22007
081513.tex,081013.tex,8,酿酒师灯塔,新生篇,西拉诺西亚,29,30,晴朗,060202.tex,5:00～7:59,张望,/lookout,064022.tex,在雨燕塔坍塌之后，人们建造了这座新的灯塔来指引航船。因为这里主要指引的是出入小麦酒港的船只，所以人们给其冠上了酿酒师的名号。在灯塔上可以一览为警戒水神利维亚桑海啸而设置的缓冲带。,12008,22008
081552.tex,081052.tex,9,制革匠行会,新生篇,格里达尼亚旧街,12,8,阴云,060203.tex,12:00～16:59,张望,/lookout,064022.tex,格里达尼亚的制革匠在整个艾欧泽亚都颇有名气，他们组成的工作室每天都在沉迷于对森林的恩惠进行加工。飞·乌尔工作室是其中尤为著名的一家工作室，技术不够的行会成员甚至没有资格冠上这个品牌，他们提供的商品一直都是供不应求。,12009,22009
081553.tex,081053.tex,10,碧企鹅瀑布,新生篇,格里达尼亚旧街,10,6,碧空,060201.tex,18:00～4:59,张望,/lookout,064022.tex,据说很久以前，人们在这个活水涌流形成的小瀑布试养过碧企鹅这种鸟类，瀑布的名字也由此而来。第六星历末期，贤者路易索瓦造访格里达尼亚时喜欢来此进行思索，也让这里更加有名。,12010,22010
081555.tex,081055.tex,11,弯枝牧场,新生篇,黑衣森林中央林区,21,21,晴朗,060202.tex,12:00～16:59,坐下 ,/sit,064054.tex,由“莫古力礼峰”经营的牧场，致力于让陆行鸟能够安定地进行繁殖，为此还专门从该项手艺的发源地伊修加德招来了饲养员。印有莫古力图案的气球是这里最显著的标志。,12011,22011
081560.tex,081060.tex,12,十二神大圣堂,新生篇,黑衣森林东部林区,17,18,晴朗,060202.tex,8:00～11:59,祈祷,/pray,064064.tex,在大冰雪时代之后，人们饱受饥饿和病痛的折磨，这座大圣堂就是当时的人们希冀得到所有十二神的加护而建造的。在第七灵灾后的困难时代，为了再次得到神的加护，格里达尼亚的人民们对这里进行了修缮。,12012,22012
081561.tex,081061.tex,13,妖精暂留地,新生篇,黑衣森林东部林区,22,26,碧空,060201.tex,18:00～4:59,张望,/lookout,064022.tex,在妖精族内部也并没有对召唤雷神拉姆达成一致，暂留地的妖精们就是反对召唤的一派，他们离开了妖精领，来到这附近搭建起了一个暂时居住的村落。这里的住房是植物的枝叶和果实被施加了魔法后变化而成的，悬挂于树木之上，造型非常奇妙。因为妖精族可以飞行，所以房屋上完全没有设立梯子。,12013,22013
081601.tex,081101.tex,14,御道,新生篇,乌尔达哈来生回廊,11,11,晴朗,060202.tex,5:00～7:59,敬礼,/salute,064031.tex,乌尔达哈政府层的步行道。通向皇宫正门的这条道路上，有近卫兵团“银胄团”的骑士看守在两侧。在王权强大的时期，路上聚满了为拜见王族而来的民众。可现今，这条路也不过就是富裕阶层的人拿来散步用的道路罢了。,12014,22014
